character,before_frequency,after_frequency
<newline>,0.00931098696461825,0.04283054003724395
<space>,0.019553072625698324,0.17690875232774675
!,0.010242085661080074,0.00186219739292365
$,0.004655493482309125,0
&,0.036312849162011177,0
',0.00931098696461825,0.000931098696461825
",",0.0074487895716946,0.010242085661080074
-,0.023277467411545624,0
.,0.01303538175046555,0.00558659217877095
3,0.0111731843575419,0
:,0.0186219739292365,0.01303538175046555
;,0.023277467411545624,0.002793296089385475
?,0.0186219739292365,0.002793296089385475
A,0.024208566108007448,0.00931098696461825
B,0.020484171322160148,0.00186219739292365
C,0.010242085661080074,0.0074487895716946
D,0.00558659217877095,0.002793296089385475
E,0.015828677839851025,0.004655493482309125
F,0.01303538175046555,0.00558659217877095
G,0.04003724394785847,0.004655493482309125
H,0.010242085661080074,0.002793296089385475
I,0.00558659217877095,0.019553072625698324
J,0.0148975791433892,0
K,0.008379888268156424,0.002793296089385475
L,0.002793296089385475,0.000931098696461825
M,0.002793296089385475,0.002793296089385475
N,0.015828677839851025,0.006517690875232775
O,0.00931098696461825,0.004655493482309125
P,0.0335195530726257,0.000931098696461825
Q,0.017690875232774673,0
R,0.0074487895716946,0.006517690875232775
S,0.0074487895716946,0.002793296089385475
T,0.004655493482309125,0.0037243947858473
U,0.015828677839851025,0.00186219739292365
V,0.00931098696461825,0.000931098696461825
W,0.019553072625698324,0.004655493482309125
X,0.03165735567970205,0
Y,0.0074487895716946,0
Z,0.010242085661080074,0
a,0.0111731843575419,0.04748603351955307
b,0.012104283054003724,0.0111731843575419
c,0.0260707635009311,0.013966480446927373
d,0.010242085661080074,0.03165735567970205
e,0.032588454376163874,0.0782122905027933
f,0.013966480446927373,0.012104283054003724
g,0.0111731843575419,0.0037243947858473
h,0.0074487895716946,0.051210428305400374
i,0.024208566108007448,0.04748603351955307
j,0.01675977653631285,0
k,0.019553072625698324,0.00558659217877095
l,0.01675977653631285,0.023277467411545624
m,0.004655493482309125,0.023277467411545624
n,0.013966480446927373,0.04003724394785847
o,0.028864059590316574,0.048417132216014895
p,0.0074487895716946,0.0074487895716946
q,0.0074487895716946,0
r,0.020484171322160148,0.0335195530726257
s,0.010242085661080074,0.0446927374301676
t,0.03165735567970205,0.06517690875232775
u,0.010242085661080074,0.01675977653631285
v,0.012104283054003724,0.006517690875232775
w,0.0186219739292365,0.010242085661080074
x,0.015828677839851025,0
y,0.030726256983240222,0.0186219739292365
z,0.01675977653631285,0.004655493482309125
